month,day,hour,usage
4,18,0,0.2561833333333333
4,18,1,0.20401666666666662
4,18,2,0.2168166666666666
4,18,3,0.21775000000000005
4,18,4,0.21305
4,18,5,0.9295500000000002
4,18,6,0.24573333333333336
4,18,7,0.3259999999999999
4,18,8,0.31533333333333324
4,18,9,0.2067499999999999
4,18,10,0.19069999999999998
4,18,11,0.20546666666666671
4,18,12,0.38954999999999995
4,18,13,0.5748000000000001
4,18,14,0.44589999999999985
4,18,15,0.33538333333333326
4,18,16,0.26425000000000004
4,18,17,0.41634999999999994
4,18,18,0.4033833333333332
4,18,19,0.4310833333333334
4,18,20,1.8119999999999998
4,18,21,1.3520666666666667
4,18,22,2.153350000000001
4,18,23,2.2287500000000002
4,19,0,0.5749499999999999
4,19,1,0.29680000000000006
4,19,2,0.22833333333333325
4,19,3,0.21044999999999994
4,19,4,0.2108166666666667
4,19,5,0.2558333333333333
4,19,6,0.20623333333333344
4,19,7,0.2173333333333333
4,19,8,0.19406666666666658
4,19,9,0.20770000000000002
4,19,10,0.32441666666666663
4,19,11,0.39158333333333334
4,19,12,0.40245000000000003
4,19,13,0.4621999999999999
4,19,14,1.03925
4,19,15,2.8055833333333333
4,19,16,0.7358500000000002
4,19,17,0.42466666666666675
4,19,18,0.7463500000000001
4,19,19,0.9142333333333333
4,19,20,0.62045
4,19,21,0.6028166666666664
4,19,22,3.294883333333333
4,19,23,0.4949166666666666
4,20,0,1.2851
4,20,1,0.5730000000000001
4,20,2,0.4324166666666667
4,20,3,0.39664999999999995
4,20,4,1.2703333333333335
4,20,5,1.5555666666666685
4,20,6,0.38173333333333337
4,20,7,0.34026666666666655
4,20,8,0.3498166666666665
4,20,9,0.3797166666666668
4,20,10,0.4947999999999999
4,20,11,0.5033499999999999
4,20,12,0.47083333333333327
4,20,13,0.698166666666667
4,20,14,0.4440999999999999
4,20,15,0.4479500000000002
4,20,16,0.41046666666666654
4,20,17,0.3141
4,20,18,1.2310000000000005
4,20,19,0.8815333333333333
4,20,20,0.6677833333333336
4,20,21,0.9967166666666666
4,20,22,0.5928999999999999
4,20,23,0.9136166666666667
4,21,0,1.8229666666666666
4,21,1,0.6655166666666664
